id,created_at,tweet
7.21801E+17,4/17/16 20:42,"Come\xc3\xa7a a vota\xc3\xa7\xc3\xa3o, cada deputado ter\xc3\xa1 10 seg para manifestar o seu voto em microfone aberto. https://t.co/nH9f8DcxMS https://t.co/GP5PmBL3Op'"
7.21794E+17,4/17/16 20:13,"Prestes a inicia a vota\xc3\xa7\xc3\xa3o, o plen\xc3\xa1rio contabiliza 504 deputados na Casa e 503 na sess\xc3\xa3o. https://t.co/nH9f8DcxMS https://t.co/WAWl2SJauF'"
7.21762E+17,4/17/16 18:09,"At\xc3\xa9 o momento, 455 deputados na Casa e 430 na sess\xc3\xa3o, segundo a Ag\xc3\xaancia C\xc3\xa2mara. Ao vivo: https://t.co/nH9f8DcxMS https://t.co/42ubnfMA4L'"
7.21759E+17,4/17/16 17:55,"Com a palavra os l\xc3\xadderes, sendo 18, porque alguns partidos est\xc3\xa3o agrupados em blocos. https://t.co/nH9f8DcxMS https://t.co/Nozqn79vU6'"
7.21751E+17,4/17/16 17:24,"Neste momento o relator do processo, Jovair Arantes, inicia sua fala. Ao vivo: https://t.co/nH9f8DcxMS https://t.co/MTjnxlETBq'"
7.21749E+17,4/17/16 17:15,Foi iniciada h\xc3\xa1 pouco a sess\xc3\xa3o de vota\xc3\xa7\xc3\xa3o sobre o impeachment contra a presidente Dilma Rousseff. Ao vivo: https://t.co/nH9f8DcxMS'
7.21111E+17,4/15/16 23:01,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/gYCkgVPh0K'
7.20907E+17,4/15/16 9:30,Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas. \n#CamaraIndependente #DemocraciaForte https://t.co/q0dAuyvBIf'
7.20545E+17,4/14/16 9:30,Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas.\n#CamaraIndependente #DemocraciaForte https://t.co/y7G0d66Kxg'
7.20182E+17,4/13/16 9:30,Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas. \n#CamaraIndependente #DemocraciaForte https://t.co/U76SXznDyI'
7.1982E+17,4/12/16 9:30,Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas. \n#CamaraIndependente #DemocraciaForte https://t.co/ns8JI4IqSi'
7.19662E+17,4/11/16 23:01,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/e6gBvw1ztT'
7.19511E+17,4/11/16 13:01,Profissionais de grande import\xc3\xa2ncia e aliados na luta contra as doen\xc3\xa7as infecciosas e parasit\xc3\xa1rias. https://t.co/S159dLQjiI'
7.19458E+17,4/11/16 9:30,Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas. \n#CamaraIndependente #DemocraciaForte https://t.co/ZAYzIgnadG'
7.19209E+17,4/10/16 17:00,"Parab\xc3\xa9ns, Aperib\xc3\xa9, pelo anivers\xc3\xa1rio. #OPovoMereceRespeito #EquipeCunha\n\nFoto: Erika Campos https://t.co/yoyImfQIDC'"
7.19178E+17,4/10/16 15:00,"Parab\xc3\xa9ns, Areal, pelo anivers\xc3\xa1rio. #OPovoMereceRespeito #EquipeCunha\nFoto: https://t.co/dxtHVVvcd7 https://t.co/BxWIvY0u9o'"
7.19148E+17,4/10/16 13:00,"Parab\xc3\xa9ns, Rio das Ostras, pelo anivers\xc3\xa1rio. #OPovoMereceRespeito #EquipeCunha\nFoto: Jorge Ronald / Divulgal\xc3\xa7\xc3\xa3o https://t.co/6wRYMQTe3B'"
7.18813E+17,4/9/16 14:49,"Anexamos a defesa parecer contundente do ex ministro do STF e da Corte de Haia,Francisco Rezek,rebatendo a pe\xc3\xa7a pol\xc3\xadtica do governo'"
7.18813E+17,4/9/16 14:48,Visando a provocar fatos para desviar a aten\xc3\xa7\xc3\xa3o'
7.18812E+17,4/9/16 14:47,"O parecer cheio de adjetivos ,divulgado com quebra de sigilo pelo procurador geral do Bacen,subordinado a AGU,mostra a utiliza\xc3\xa7\xc3\xa3o da m\xc3\xa1quina'"
7.18812E+17,4/9/16 14:45,Recurso ainda n\xc3\xa3o apreciado'
7.18812E+17,4/9/16 14:44,"Tamb\xc3\xa9m com rela\xc3\xa7\xc3\xa3o \xc3\xa0 publica\xc3\xa7ao repetida da Folha de parecer do Bacen j\xc3\xa1 publicado ,faz mais de 3 meses,houve recurso administrativo meu'"
7.18811E+17,4/9/16 14:41,Atribuir vincula\xc3\xa7\xc3\xa3o com ex cliente dos atos e da vida de ex advogado'
7.18811E+17,4/9/16 14:40,"J\xc3\xa1 vi tentarem atribuir aos advogados fatos referentes aos seus clientes,mas e a primeira vez que tentam o inverso'"
7.1881E+17,4/9/16 14:38,Bom dia a todos'
7.18575E+17,4/8/16 23:01,#EquipeCunha #CamaraIndependente #DemocraciaForte #CunhaPresidente https://t.co/D0MwFh8BuK'
7.1852E+17,4/8/16 19:23,"Em mar\xc3\xa7o, a C\xc3\xa2mara dos Deputados aprovou o PL que autoriza o uso da p\xc3\xadlula do c\xc3\xa2ncer (fosfoetanolamina). https://t.co/fZ7vwaO1cW'"
7.18456E+17,4/8/16 15:11,"Esta data promove a discuss\xc3\xa3o sobre a educa\xc3\xa7\xc3\xa3o, a empregabilidade e a inclus\xc3\xa3o das pessoas cegas e com baixa vis\xc3\xa3o. https://t.co/Rtm0kRcqhI'"
7.1837E+17,4/8/16 9:30,Que Deus aben\xc3\xa7oe a todos voc\xc3\xaas. \n#CamaraIndependente #DemocraciaForte https://t.co/qIbb1ORP1a'
7.18069E+17,4/7/16 13:31,Sa\xc3\xbade \xc3\xa9 um direito de todos. #EquipeCunha #OPovoMereceRespeito https://t.co/eieFMbarzh'
